software_engineer
-66000
-61608
-60000
-50000
-47488
-46500
-42000
-41776
-40572
-37800
-32000
-30000
-6689
-2600
-2545
-576
-575
-176
-100
-82
-70
-15
0
0
0
1
1
1
1,05
1,1
1,2
1,3
1,35
1,4
1,5
1,5
1,55
1,551
1,59
1,6
1,613
1,65
1,69
1,7
1,72
1,766
1,86
1,9
2
2
2,2
2,3
2,339
2,393
2,452
2,5
2,6
2,772
2,8
2,825
2,898
2,968
3
3
3
3,033
3,3
3,36
3,5
3,6
3,653
3,7
4
4
4,5
5
5
5
6
6,6
7
8
8
8
8,6
8,7
9
9
9
9,5
10
11
11
11
12
12
12
13
14
15
16
16
17
18
20
20
21
22
22,204
23
24
24,738
25
25,3
25,7
26
26,04
27
28
28
29
29
29,4
30
30
31
31,5
32
32,2
32,245
32,648
33
33
34
34,494
35
35
35,14
36
36
37
38
38
38,5
39
39,287
40
40
40,5
40,6
41
41,286
42
42
43
43
43
43,5
44
44
44,1
44,5
45
45
45,948
46
46
47
47
48
49
49
50
50
51
52
52
53
54
54
55
55
55,6
56
56
56,084
60
60
61
62
63
63
64
65
65
66
69
70
70
71
72
73
74
75
76
77
77
78
79
80
80
84
86
87
88
89
90
90
94
97
99
100
100
101
105
111
120
121
123
126,5
127
130
130
131
140
145
150
150
152
153
155
157
158
162
163
171
188
195
200
203
203
210
211
219
220
221
221
230
232
241
243
250
251
260
281
293
300
312
313
316
332
341
349
350
351
365
392
400
401
408
459
462
463
480
486
500
505
512
513
516
523
524
556
560
573
590
600
603
611
620
630
646
652
660
662
662
664
664
676
680
681
685
697
699
700
715
718
720
732
732
736
740
750
755
784
787
790
797
800
800
815
815
828
877
880
890
891
900
903
934
952
996
1010
1020
1029
1030
1031
1038
1040
1060
1070
1080
1090
1130
1160
1171
1190
1200
1210
1220
1230
1241
1262
1300
1322
1325
1333
1352
1356
1400
1500
1532
1600
1620
1714
1730
1819
1828
1860
1874
1895
1905
1924
1966
1979
1984
1985
1987
1988
1991
1992
1998
1999
2000
2000
2006
2007
2008
2010
2012
2015
2016
2017
2018
2019
2100
2101
2111
2155
2215
2236
2256
2300
2330
2331
2373
2377
2393
2393
2410
2468
2500
2504
2510
2517
2528
2558
2570
2602
2606
2650
2700
2791,43
2800
2813
2847
2898
2898
2942
3000
3000
3064
3100
3127
3200
3267,14
3300
3341,29
3350
3390
3392
3400
3500
3500
3532
3563
3577
3613
3638
3727
3800
3928,57
4000
4050
4200
4232
4500
4600
4642
4751
4760
4762
4763
4800
4912
5000
5020
5027
5081
5161
5175
5176
5203
5500
5700
5895
6000
6006
6100
6245
6246
6330
6400
6421
6596
6900
6902
7001
7242
7416
7674
7742
8010
8045
8054
8096
8114
8143
8161
8192
8324
8502
8802
8850
8979
9001
9020
9394
9800
9911
10156
10435
11655
16492
16752
16772
19021
20600
21111
21170
21175
21224
21376
22175
22660,68
24186
24322
24324
24326
24473
24752
24800
24830
25001
25430
25486
25601
25602
25652
25825
25935
26046
26262
26678
26779
26915
26917
27369,44
27714
30554
30954,14
32200
32795
32956,28
33500
33502
34815
35000
35556
37000
37100
37800
37800
38000
38000
38565
38574
38585,82
38713
39114
39311
39652
40000
40053
40308
40385
40500
40607
40725
40967
40971
40975
40992
40996
41014
41170
41208
42000
43400
43417,08
43664
44800
45000
45000
45740
45948
45948
46000
46500
48174
49193,62
50000
50188
50304
51515
51933
53700
55000
56234
56341
57070
57080
60000
65000
65904
67092
67902
68515
68574
68801
71199
72332
75000
76744
77826
78998
79070
81150
82384
85043
85335
85336
85737
86082
87134
87173
87229
89085
97128
123541
135832
170902
289671
336195
357418
358052
431002
508655
508662
508663
508666
515250
611221
875787
1714967
2324444
3065980
3065985
3065987
4016232
4021235
6988880
7119872
8126127
41038603
57070100
201801028
1592497055
1595370153
4312144894
4315853700
6646257701
6648393869
15238207160
43732611221
4357244633343
_
-
-a.a
-hoc
-initiative
-kv
-praktikanten
-PRON-
-site
-studie
.
.a2l
.dcm
.have
.hex
.java
.js
.net
.unlimited
.we
.what
​​(eg
​​(gams
​​(java
​​(phyton
​​(prefers
​​(python
​​(r
​​(shell
/
/external
/loadrunner
"\"""
\n
+
<
=
>
|
|_big
|_cloud
|_distributed
~
$
€
0)2243/9000
0)50811
0043/664/736
01.02.18
01.03.18
01.04.18
01.05.18
01.07.18
01/503
01/535
01/99366
02.04.18
03/16/2018
03/2018
​​05
0732/600189
0732/611221
09:00:00
1_523
1,336.11
1,385.10
1,500.-
1,830.09
1,860.00
1.333,--
1.6
1.766,--
1.96
1/523
1/7
10_year
10.04.18
10/15
10635.38
10704.97
11.0
1100_vienna
1120_vienna
12.5
12/2/top
120_country
123/6
125_year
12a
12c
13/6
13593/001
14_time
14x
15:30:00
15.03.18
15.9
15/5
15h
16,771.-
16.04.18
16.05.18
17/1
1700201316w
1701494541w
18/36
19:30:00
19.04.18
19.6
19h
19th
1a
1st
2_year
2-day
2,032.79
2,053.30
2,182.60
2,222.23
2,250.-
2,281.92
2,332.00
2,369.95
2,393.00
2,400.00
2,441.64
2,487.61
2,648.11
2,674.96
2,785.54
2,794.60
2,866.92
2,898.00
2,906.11
2,984.-
2.0
2.2
2.332eur
2.400eur
2.5
2.825,--
2/5
2/og6
2016/17
20b
20h
22,204eur
2243/9000
23,369.44
23,854.55
24,971.94
24.08.18
24x7
25/2
25h
27_27
27.04.18
2700x
2785.54
28,546.00
28.02.18
289671ap
29/ca0206
290th
2d
2nd
2nd_level
3_5
3_5015
3_year
3-layer
3-person
3-year
3,192.58
3,199.00
3,232.98
3,243.98
3,259.67
3,360.00
3,392.00
3,591.95
3,784.00
3.000,--
3.5-year
3.500eur
3.700eur
30.03.18
30.04.18
30.06.19
3000.-
30h
31,137.26
31,201.24
31.03.17
31.03.18
31.05.18
31.12.18
31/05/2018
3192.58
32,956.28
